"","PLAYER","OWNER","POS.x","DFA","YRS","ACQ","KEEP","TEAM","FPTS","POS.y"
"364","KENNARD BACKMAN",NA,NA,NA,NA,NA,NA,"GB",3.4,"TE"
"365","KENNY BELL",NA,NA,NA,NA,NA,NA,"TB",18.7,"WR"
"366","KENNY BRITT",NA,NA,NA,NA,NA,NA,"STL",89.7,"WR"
"367","KENNY HILLIARD",NA,NA,NA,NA,NA,NA,"HOU",4.2,"RB"
"368","KENNY STILLS","JUSTIN","WR","F",1,1,4,"MIA",93.8,"WR"
"369","KERWYNN WILLIAMS",NA,NA,NA,NA,NA,NA,"ARI",5.4,"RB"
"370","KESHAWN MARTIN",NA,NA,NA,NA,NA,NA,"HOU",5.8,"WR"
"371","KEVIN DORSEY",NA,NA,NA,NA,NA,NA,"NE",7.7,"WR"
"372","KEVIN NORWOOD",NA,NA,NA,NA,NA,NA,"SEA",4.3,"WR"
"373","KEVIN WHITE",NA,NA,NA,NA,NA,NA,"CHI",44,"WR"
"374","KHIRY ROBINSON",NA,NA,NA,NA,NA,NA,"NO",35.4,"RB"
"375","KIERO SMALL",NA,NA,NA,NA,NA,NA,"BAL",3.5,"RB"
"376","KIRK COUSINS",NA,NA,NA,NA,NA,NA,"WAS",30.7,"QB"
"377","KNILE DAVIS","FRED","RB","F",1,55,69,"KC",76.8,"RB"
"378","KNOSHON MORENO","DEREK","RB","F",1,2,4,NA,NA,NA
"379","KRIS DURHAM",NA,NA,NA,NA,NA,NA,"OAK",5,"WR"
"380","KYLE JUSZCZYK",NA,NA,NA,NA,NA,NA,"BAL",15.1,"RB"
"381","KYLE RUDOLPH","EVAN","TE","F",1,0,4,"MIN",85.4,"TE"
"382","LADARIUS GREEN",NA,NA,NA,NA,NA,NA,"SD",60.4,"TE"
"383","LAMAR MILLER","JUSTIN","RB","D",1,31,33,"MIA",176.4,"RB"
"384","LAMICHAEL JAMES",NA,NA,NA,NA,NA,NA,"MIA",7,"RB"
"385","LANCE DUNBAR",NA,NA,NA,NA,NA,NA,"DAL",66.3,"RB"
"386","LANCE KENDRICKS",NA,NA,NA,NA,NA,NA,"STL",43.6,"TE"
"387","LANCE MOORE",NA,NA,NA,NA,NA,NA,"DET",6.6,"WR"
"388","LANDRY JONES",NA,NA,NA,NA,NA,NA,"PIT",0,"QB"
"389","LARRY DONNELL","PHILLY","TE","F",1,0,4,"NYG",75.4,"TE"
"390","LARRY FITZGERALD","WILL","WR","F",1,8,9,"ARI",112.2,"WR"
"391","LATAVIUS MURRAY","PHILLY","RB","F",1,3,4,"OAK",161.1,"RB"
"392","LE'VEON BELL","BRUCE","RB","D ",2,31,36,"PIT",218.1,"RB"
"393","LEE SMITH",NA,NA,NA,NA,NA,NA,"OAK",14.8,"TE"
"394","LEGARRETTE BLOUNT","WILL","RB","D",1,8,9,"NE",140.2,"RB"
"395","LEONARD HANKERSON",NA,NA,NA,NA,NA,NA,"ATL",61,"WR"
"396","LESEAN MCCOY","MAKI","RB","D",2,198,229,"BUF",194.9,"RB"
"397","LEVINE TOILOLO",NA,NA,NA,NA,NA,NA,"ATL",20.4,"TE"
"398","LOGAN THOMAS",NA,NA,NA,NA,NA,NA,"ARI",0,"QB"
"399","LORENZO TALIAFERRO","EVAN","RB","F",1,0,4,"BAL",74.5,"RB"
"400","LOUIS MURPHY",NA,NA,NA,NA,NA,NA,"TB",43.2,"WR"
"401","LUCKY WHITEHEAD",NA,NA,NA,NA,NA,NA,"DAL",3.3,"WR"
"402","LUKE MCCOWN",NA,NA,NA,NA,NA,NA,"NO",3.2,"QB"
"403","LUKE STOCKER",NA,NA,NA,NA,NA,NA,"TB",4,"TE"
"404","LUKE WILLSON",NA,NA,NA,NA,NA,NA,"SEA",31.2,"TE"
"405","MALCOLM BROWN",NA,NA,NA,NA,NA,NA,"STL",0.3,"RB"
"406","MALCOLM JOHNSON",NA,NA,NA,NA,NA,NA,"CLE",12.7,"RB"
"407","MALCOLM JOHNSON",NA,NA,NA,NA,NA,NA,"CLE",0.4,"TE"
"408","MALCOM FLOYD",NA,NA,NA,NA,NA,NA,"SD",104,"WR"
"409","MARC MARIANI",NA,NA,NA,NA,NA,NA,"CHI",4.1,"WR"
"410","MARCEDES LEWIS",NA,NA,NA,NA,NA,NA,"JAC",32,"TE"
"411","MARCEL REECE",NA,NA,NA,NA,NA,NA,"OAK",30.4,"RB"
"412","MARCUS EASLEY",NA,NA,NA,NA,NA,NA,"BUF",4,"WR"
"413","MARCUS MARIOTA",NA,NA,NA,NA,NA,NA,"TEN",220.2,"QB"
"414","MARCUS MURPHY",NA,NA,NA,NA,NA,NA,"NO",4.9,"RB"
"415","MARCUS THIGPEN",NA,NA,NA,NA,NA,NA,"BUF",4.7,"RB"
"416","MARION GRICE",NA,NA,NA,NA,NA,NA,"ARI",9,"RB"
"417","MARK INGRAM","PHILLY","RB","D",1,5,6,"NO",171.1,"RB"
"418","MARK SANCHEZ","KT","QB","F",1,12,15,"PHI",28.5,"QB"
"419","MARKUS WHEATON",NA,NA,NA,NA,NA,NA,"PIT",74.5,"WR"
"420","MARLON BROWN",NA,NA,NA,NA,NA,NA,"BAL",34.1,"WR"
"421","MARLON MOORE",NA,NA,NA,NA,NA,NA,"CLE",8.6,"WR"
"422","MARQISE LEE",NA,NA,NA,NA,NA,NA,"JAC",57.8,"WR"
"423","MARQUEIS GRAY",NA,NA,NA,NA,NA,NA,"BUF",14.8,"TE"
"424","MARQUES COLSTON","EVAN","WR","D",1,17,18,"NO",110.8,"WR"
"425","MARQUESS WILSON",NA,NA,NA,NA,NA,NA,"CHI",40.9,"WR"
"426","MARQUISE GOODWIN",NA,NA,NA,NA,NA,NA,"BUF",7.4,"WR"
"427","MARSHAWN LYNCH","HANS","RB","D",2,123,142,"SEA",229.5,"RB"
"428","MARTAVIS BRYANT","DEREK","WR","F",1,15,19,"PIT",120.1,"WR"
"429","MARTELLUS BENNETT","KT","TE","D",1,1,2,"CHI",111.4,"TE"
"430","MARVIN JONES",NA,NA,NA,NA,NA,NA,"CIN",78.9,"WR"
"431","MATT ASIATA","EVAN","RB","F",1,0,4,"MIN",24.1,"RB"
"432","MATT BARKLEY",NA,NA,NA,NA,NA,NA,"PHI",0,"QB"
"433","MATT CASSEL",NA,NA,NA,NA,NA,NA,"BUF",97.3,"QB"
"434","MATT FORTE","DEREK","RB","D ",2,122,141,"CHI",214.6,"RB"
"435","MATT HASSELBECK",NA,NA,NA,NA,NA,NA,"IND",3.2,"QB"
"436","MATT HAZEL",NA,NA,NA,NA,NA,NA,"MIA",4.5,"WR"
"437","MATT JONES",NA,NA,NA,NA,NA,NA,"WAS",64.7,"RB"
"438","MATT MCGLOIN",NA,NA,NA,NA,NA,NA,"OAK",0.9,"QB"
"439","MATT MOORE",NA,NA,NA,NA,NA,NA,"MIA",1.9,"QB"
"440","MATT RYAN","WILL","QB","D",2,85,98,"ATL",282.5,"QB"
"441","MATT SCHAUB",NA,NA,NA,NA,NA,NA,"BAL",2.3,"QB"
"442","MATT SIMMS",NA,NA,NA,NA,NA,NA,"BUF",0,"QB"
"443","MATT SLATER",NA,NA,NA,NA,NA,NA,"NE",9.5,"WR"
"444","MATT SPAETH",NA,NA,NA,NA,NA,NA,"PIT",26.7,"TE"
"445","MATTHEW STAFFORD","BRUCE","QB","D",1,35,37,"DET",266.3,"QB"
"446","MAXX WILLIAMS",NA,NA,NA,NA,NA,NA,"BAL",57.4,"TE"
