playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Seyi Ajirotutu,WR,PHI,WR,PHI,null,0.072,null,null,null,190,null,null,0.0485,null,null,null,0.1229,0,3.0898,null
Arrelious Benn,WR,JAC,WR,JAC,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Dez Bryant,WR,DAL,WR,DAL,null,17.6548,null,null,null,7,null,null,0.1644,null,null,null,19.1879,15.92,5.6157,null
Riley Cooper,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Eric Decker,WR,NYJ,WR,NYJ,null,16.0834,null,null,null,18,null,null,0.0567,null,null,null,18.0597,13.8248,4.8597,null
Marcus Easley,WR,BUF,WR,BUF,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Jacoby Ford,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Brandon LaFell,WR,CIN,WR,CIN,null,6.4994,null,null,null,76,null,null,0.1915,null,null,null,7.2943,5.036,4.7475,null
Andre Roberts,WR,DET,WR,DET,null,1.715,null,null,null,134,null,null,0.0226,null,null,null,2.6214,0,3.6297,null
Emmanuel Sanders,WR,DEN,WR,DEN,null,12.4662,null,null,null,34,null,null,0.0611,null,null,null,14.4316,8.0352,6.0175,null
Golden Tate,WR,DET,WR,DET,null,15.4335,null,null,null,22,null,null,0.4111,null,null,null,17.5909,10.9088,8.2272,null
Demaryius Thomas,WR,DEN,WR,DEN,null,16.036,null,null,null,19,null,null,0.2587,null,null,null,18.2952,13.4838,5.0584,null
Joe Webb,QB,CAR,QB,CAR,null,0.0736,null,null,null,67,null,null,0.0456,null,null,null,0.1617,0,3.7972,null
Michael Palmer,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Deji Karim,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Marc Mariani,WR,TEN,WR,TEN,null,1.8069,null,null,null,133,null,null,0.0919,null,null,null,4.4187,0,9.324,null
Charles Clay,TE,BUF,TE,BUF,null,10.1759,null,null,null,13,null,null,0.3278,null,null,null,12.1528,6.9486,4.5654,null
Andy Dalton,QB,CIN,QB,CIN,null,15.0023,null,null,null,26,null,null,0.7016,null,null,null,16.5571,13.128,7.7731,null
Leonard Hankerson,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Dwayne Harris,WR,NYG,WR,NYG,null,3.2467,null,null,null,116,null,null,0.094,null,null,null,4.7501,0.58,4.2113,null
Roy Helu,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Kendall Hunter,RB,NO,RB,NO,null,0.0045,null,null,null,141,null,null,0.0045,null,null,null,0.0068,0,null,null
Jerrel Jernigan,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Jerrod Johnson,QB,DAL,QB,DAL,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Colin Kaepernick,QB,SF,QB,SF,null,1.6422,null,null,null,37,null,null,0.3977,null,null,null,2.7515,0.258,3.8012,null
Lance Kendricks,TE,LA,TE,LA,null,4.8965,null,null,null,34,null,null,0.0953,null,null,null,6.0524,2.5,4.6394,null
Jeremy Kerley,WR,SF,WR,SF,null,4.6501,null,null,null,97,null,null,0.2405,null,null,null,5.6983,2.6764,5.7853,null
Greg Little,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
DeMarco Murray,RB,TEN,RB,TEN,null,12.8024,null,null,null,16,null,null,0.1975,null,null,null,15.4083,9.0089,3.5768,null
Niles Paul,TE,WAS,TE,WAS,null,4.0339,null,null,null,42,null,null,0.0977,null,null,null,6.447,1.97,7.0806,null
Christian Ponder,QB,SF,QB,SF,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Greg Salas,WR,BUF,WR,BUF,null,1.1635,null,null,null,147,null,null,0.1283,null,null,null,1.9098,0,4.2414,null
Luke Stocker,TE,TB,TE,TB,null,0.5945,null,null,null,86,null,null,0.0497,null,null,null,0.6933,0.41,null,null
Tyrod Taylor,QB,BUF,QB,BUF,null,18.91,null,null,null,9,null,null,0.0206,null,null,null,22.0585,16.19,7.7328,null
Daniel Thomas,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matt Asiata,RB,MIN,RB,MIN,null,2.5556,null,null,null,81,null,null,0.2236,null,null,null,3.5802,1.0189,6.1288,null
Jordan Cameron,TE,MIA,TE,MIA,null,7.0401,null,null,null,22,null,null,0.0816,null,null,null,8.1935,5.2822,4.1215,null
Virgil Green,TE,DEN,TE,DEN,null,6.4674,null,null,null,28,null,null,0.5887,null,null,null,7.234,3.8589,4.5654,null
Ricardo Lockette,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Bruce Miller,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Bilal Powell,RB,NYJ,RB,NYJ,null,9.0362,null,null,null,39,null,null,0.0818,null,null,null,9.7381,2.8107,3.4492,null
