"Name","FP","Pos","Team","Salary","Avg","Game","Time","Rnk","Drop","Ceiling","Floor","Risk","index"
"Marcedes Lewis",3.1259,"TE","JAX",2500,8.25,"Bal@Jax","01:00PM",52,"0.321",3.7623,2.37,"5.2977","2495888"
"Brandon Marshall",14.4487,"WR","NYJ",7300,12.65,"NYJ@KC","04:25PM",20,"0.1422",16.0404,10.7137,"6.3454","2495893"
"Delanie Walker",13.1801,"TE","TEN",5000,13.75,"Oak@Ten","01:00PM",2,"0.5811",15.8304,11.16,"5.6679","2495966"
"DeAngelo Williams",18.3941,"RB","PIT",7500,30.65,"Pit@Phi","04:25PM",2,"1.5501",21.4499,12.88,"1.6529","2495979"
"Steve Smith Sr.",11.1864,"WR","BAL",4100,8.15,"Bal@Jax","01:00PM",41,"0.5354",12.1718,9.53,"5.2143","2504595"
"Drew Brees",18.9869,"QB","NO",7900,24.97,"Atl@NO","08:30PM",8,"0.5002",21.2153,14.62,"4.3227","2504775"
"Shaun Hill",3.1483,"QB","MIN",5000,10.24,"Min@Car","01:00PM",37,"0.8338",7.3037,-0.84,"6.9088","2504833"
"Josh McCown",4.5006,"QB","CLE",5600,16.4,"Cle@Mia","01:00PM",36,"1.5699",6.7747,0,"10.3581","2505076"
"Carson Palmer",17.6573,"QB","ARI",7200,23.05,"Ari@Buf","01:00PM",14,"0.1585",18.2123,16.388,"5.6216","2505245"
"Antonio Gates",11.0537,"TE","SD",4600,7.75,"SD@Ind","04:25PM",10,"1.9213",13.604,6.9412,"10.6705","2505299"
"Tony Romo",0,"QB","DAL",6000,0,"Chi@Dal","08:30PM",75,"0",0,0,"3.7212","2505354"
"Andre Johnson",3.8715,"WR","TEN",3400,6.95,"Oak@Ten","01:00PM",103,"0.1884",5.4779,1.71,"6.4224","2505551"
"Anquan Boldin",9.7665,"WR","DET",4200,10.65,"Det@GB","01:00PM",51,"0.1484",12.418,6.5662,"6.8453","2505587"
"Jason Witten",11.4099,"TE","DAL",4300,11.85,"Chi@Dal","08:30PM",6,"0.1493",11.7141,9.606,"4.5262","2505629"
"Matt Schaub",0.0696,"QB","ATL",5000,0,"Atl@NO","08:30PM",66,"0.0225",0.1481,-0.048,"3.8281","2505982"
"Eli Manning",17.8165,"QB","NYG",7000,17.8,"Was@NYG","01:00PM",13,"0.1834",18.4746,17.026,"4.9191","2505996"
"Luke McCown",0.114,"QB","NO",5000,0,"Atl@NO","08:30PM",62,"0.0097",0.2136,0.004,"3.8589","2506053"
"Larry Fitzgerald",15.2215,"WR","ARI",6900,23.6,"Ari@Buf","01:00PM",17,"0.2371",16.7573,11.97,"5.4014","2506106"
"Ben Roethlisberger",18.9881,"QB","PIT",7300,23.78,"Pit@Phi","04:25PM",7,"0.1173",19.9953,17.84,"5.0268","2506109"
"Philip Rivers",20.2771,"QB","SD",6700,19.71,"SD@Ind","04:25PM",5,"1.2618",23.3256,18.2646,"7.0221","2506121"
"John Kuhn",1.5164,"RB","NO",3000,1.7,"Atl@NO","08:30PM",96,"0.0623",2.5044,0,"3.2463","2506147"
"Alex Smith",16.7297,"QB","KC",5800,18.83,"NYJ@KC","04:25PM",20,"0.601",17.91,14.9,"5.8441","2506340"
"Aaron Rodgers",21.2939,"QB","GB",7700,21.49,"Det@GB","01:00PM",4,"1.634",21.9553,19.02,"5.874","2506363"
"Vincent Jackson",9.6405,"WR","TB",3900,6.1,"LA@TB","04:05PM",52,"0.1109",11.0382,7.04,"5.2478","2506400"
"Frank Gore",13.7046,"RB","IND",5000,13.55,"SD@Ind","04:25PM",13,"0.0337",15.8255,10.56,"4.9034","2506404"
"Darren Sproles",9.7943,"RB","PHI",3700,6.2,"Pit@Phi","04:25PM",34,"0.1277",10.9447,7.72,"4.3935","2506467"
"Dan Orlovsky",0.2399,"QB","DET",5000,0,"Det@GB","01:00PM",55,"0.0442",0.8657,-0.68,"4.7221","2506481"
"Derek Anderson",0.1257,"QB","CAR",5000,0,"Min@Car","01:00PM",60,"0.0071",0.2477,0.032,"3.8987","2506546"
"Matt Cassel",0.4526,"QB","TEN",5000,-0.1,"Oak@Ten","01:00PM",48,"0.0098",0.8649,0.092,"4.2789","2506562"
"Ryan Fitzpatrick",16.8034,"QB","NYJ",5900,20.06,"NYJ@KC","04:25PM",19,"0.1122",17.7815,14.82,"5.4841","2506581"
"Reggie Bush",3.2633,"RB","BUF",3200,-0.2,"Ari@Buf","01:00PM",79,"0.1889",4.6197,0.52,"5.1583","2506874"
"Kellen Clemens",0.259,"QB","SD",5000,-0.1,"SD@Ind","04:25PM",53,"0.0116",0.4414,0.012,"4.0436","2506895"
"Devin Hester",0.1008,"WR","BAL",3000,0,"Bal@Jax","01:00PM",180,"0.0592",0.253,0,"3.6826","2506897"
"Eric Weems",0.1636,"WR","ATL",3000,0,"Atl@NO","08:30PM",177,"0.0382",0.3953,0,"3.908","2507029"
"Adrian Peterson",8.0246,"RB","MIN",6700,3.85,"Min@Car","01:00PM",42,"0.2653",13.1315,0,"null","2507164"
"Ted Ginn Jr.",7.347,"WR","CAR",3700,5.05,"Min@Car","01:00PM",74,"0.2042",9.281,4.6765,"6.8175","2507166"
"Brent Celek",5.6395,"TE","PHI",2800,1.05,"Pit@Phi","04:25PM",33,"0.0714",7.5114,3.76,"7.0449","2507218"
"Matt Moore",0.144,"QB","MIA",5000,0,"Cle@Mia","01:00PM",59,"0.0196",0.2715,0.012,"3.8953","2507282"
"Mike Tolbert",5.2251,"RB","CAR",3000,2.1,"Min@Car","01:00PM",63,"0.0373",6.8247,3.58,"6.688","2507428"
"Kellen Davis",1.3996,"TE","NYJ",2500,0,"NYJ@KC","04:25PM",66,"0.1234",1.5523,1.18,"4.592","2507486"
"Mike Wallace",10.2126,"WR","BAL",5000,19.65,"Bal@Jax","01:00PM",44,"0.0487",11.5754,7.53,"5.8586","2507763"
"Logan Paulsen",0.092,"TE","CHI",2500,0,"Chi@Dal","08:30PM",102,"0.092",0.2022,0,"6.1147","2507828"
"Victor Cruz",7.7396,"WR","NYG",4700,12.75,"Was@NYG","01:00PM",72,"0.2798",10.1105,3.8,"6.8469","2507855"
"Chris Ivory",8.5773,"RB","JAX",3900,0,"Bal@Jax","01:00PM",41,"0.6406",9.0246,1.2739,"null","2507999"
"Antonio Brown",23.3706,"WR","PIT",9600,21.75,"Pit@Phi","04:25PM",1,"3.3295",24.5763,21.55,"3.3121","2508061"
"Andrew Hawkins",8.2816,"WR","CLE",3000,2.85,"Cle@Mia","01:00PM",64,"0.2723",11.0117,5.15,"7.971","2508097"
"James Develin",0.3254,"RB","NE",3000,0,"Hou@NE","08:25PM",122,"0.0155",0.4797,0,"null","2508101"
"Chad Henne",0.208,"QB","JAX",5000,0,"Bal@Jax","01:00PM",56,"0.0353",0.354,0.066,"3.9058","252"
"Bryan Walters",1.192,"WR","JAX",3000,0,"Bal@Jax","01:00PM",139,"0.1106",2.0898,0,"5.4624","2528181"
"Chris Hogan",6.0726,"WR","NE",3900,12.45,"Hou@NE","08:25PM",87,"0.3638",6.558,4.7872,"5.6006","2530515"
"Kamar Aiken",6.2347,"WR","BAL",3100,1.7,"Bal@Jax","01:00PM",84,"0.1374",8.8497,2.3307,"8.0348","2530660"
"DuJuan Harris",0,"RB","SF",3000,0,"SF@Sea","04:05PM",138,"0",0,0,"null","2530690"
"Dontrelle Inman",7.5725,"WR","SD",3600,1.65,"SD@Ind","04:25PM",73,"0.2689",9.0664,4.3877,"5.9996","2530700"
"Doug Baldwin",15.3623,"WR","SEA",6300,14.6,"SF@Sea","04:05PM",16,"0.1424",16.5432,13.2,"5.7521","2530747"
"Patrick DiMarco",0.8158,"RB","ATL",3000,0.9,"Atl@NO","08:30PM",109,"0.0719",1.1426,0.56,"12.6791","2530763"
"Chase Reynolds",0,"RB","LA",3000,0,"LA@TB","04:05PM",138,"0",0,0,"null","2531218"
"Travis Benjamin",13.9371,"WR","SD",5200,21.3,"SD@Ind","04:25PM",24,"0.0951",16.2166,9.74,"6.3652","2532790"
"Brandon Bolden",2.4778,"RB","NE",3000,0.2,"Hou@NE","08:25PM",87,"0.0432",4.0444,0,"6.3693","2532797"
"Kirk Cousins",18.2189,"QB","WAS",6400,18.76,"Was@NYG","01:00PM",10,"0.2214",18.5412,16.89,"5.1041","2532820"
"Rhett Ellison",1.0424,"TE","MIN",2500,0,"Min@Car","01:00PM",72,"0.1064",1.3703,0.64,"3.8369","2532835"
"Coby Fleener",11.1177,"TE","NO",3300,3.25,"Atl@NO","08:30PM",8,"0.048",12.3798,9.4738,"5.45","2532838"
"Michael Floyd",12.0519,"WR","ARI",5800,8.95,"Ari@Buf","01:00PM",37,"0.1674",12.3864,9.2407,"4.3068","2532841"
"Nick Foles",0.6088,"QB","KC",5000,0,"NYJ@KC","04:25PM",46,"0.0839",1.189,0.076,"4.512","2532842"
"T.Y. Hilton",16.3389,"WR","IND",6800,11,"SD@Ind","04:25PM",9,"0.1307",18.3414,13.51,"6.2486","2532865"
"Marvin Jones Jr.",15.2183,"WR","DET",6200,17.65,"Det@GB","01:00PM",18,"0.6187",17.648,11.6105,"6.221","2532884"
"Jermaine Kearse",9.5956,"WR","SEA",3400,6.9,"SF@Sea","04:05PM",53,"0.2169",11.4454,7.5531,"6.6662","2532887"
"Case Keenum",10.568,"QB","LA",5000,7.13,"LA@TB","04:05PM",31,"1.5665",12.3244,4.978,"4.5466","2532888"
"Doug Martin",7.4375,"RB","TB",5700,8.45,"LA@TB","04:05PM",47,"0.3646",12.295,0,"null","2532899"
"Rishard Matthews",9.4636,"WR","TEN",3300,6.8,"Oak@Ten","01:00PM",54,"0.1877",11.5092,7.0517,"6.1014","2532903"
"Isaiah Pead",0.7043,"RB","MIA",3000,0,"Cle@Mia","01:00PM",111,"0.0727",1.2636,0,"null","2532926"
"Brian Quick",3.3808,"WR","LA",3000,3.55,"LA@TB","04:05PM",107,"0.265",3.7187,2.37,"5.8985","2532933"
"Ryan Tannehill",19.0427,"QB","MIA",6200,21.56,"Cle@Mia","01:00PM",6,"0.0552",20.6397,15.478,"7.8708","2532956"
"Brandon Weeden",0,"QB","HOU",5000,0,"Hou@NE","08:25PM",75,"0",0,0,"3.7212","2532970"
"Russell Wilson",21.5701,"QB","SEA",7100,12.74,"SF@Sea","04:05PM",3,"0.7846",22.2194,20.3,"6.8287","2532975"
"Kendall Wright",6.7055,"WR","TEN",3000,0,"Oak@Ten","01:00PM",80,"0.1342",7.8214,5.43,"6.0295","2532977"
"Jarius Wright",0.6149,"WR","MIN",3000,0,"Min@Car","01:00PM",154,"0.0149",1.0423,0,"4.9508","2532978"
"Andrew Luck",21.8899,"QB","IND",7600,25.29,"SD@Ind","04:25PM",2,"0.4579",23.6233,20.14,"6.2809","2533031"
"Lamar Miller",15.4299,"RB","HOU",7200,15.2,"Hou@NE","08:25PM",7,"0.8528",16.1994,11.6223,"2.8001","2533034"
"Alshon Jeffery",16.1446,"WR","CHI",8000,16.05,"Chi@Dal","08:30PM",12,"0.3009",17.8994,12.5662,"7.3603","2533039"
"Mohamed Sanu",10.7995,"WR","ATL",5700,12.95,"Atl@NO","08:30PM",42,"0.4418",11.9035,8.11,"5.3374","2533040"
"Dwayne Allen",9.071,"TE","IND",3800,10.9,"SD@Ind","04:25PM",12,"0.0098",10.7752,4.81,"6.5719","2533046"
"Orson Charles",0,"TE","DET",2500,0,"Det@GB","01:00PM",103,"0",0,0,"2.9996","2533047"
"Austin Davis",0.0012,"QB","DEN",5000,0,"Den@Cin","01:00PM",74,"0.0012",0.0023,0,"3.7234","2533349"
"Cory Harkey",0.405,"TE","LA",2500,0,"LA@TB","04:05PM",91,"0.0263",0.5313,0.15,"3.5195","2533353"
"Brock Osweiler",14.6866,"QB","HOU",6000,15.03,"Hou@NE","08:25PM",23,"0.1354",16.1874,10.8,"6.3228","2533436"
"Alfred Morris",5.4823,"RB","DAL",3700,5.1,"Chi@Dal","08:30PM",61,"0.2103",7.3508,2.8789,"3.8199","2533457"
"Robert Turbin",4.1417,"RB","IND",3000,5.45,"SD@Ind","04:25PM",72,"0.2416",5.3001,2.85,"6.1781","2533460"
"Deonte Thompson",0.6697,"WR","CHI",3000,0,"Chi@Dal","08:30PM",152,"0.0336",0.9841,0.24,"4.035","2534436"
"Bobby Rainey",0.2581,"RB","NYG",3000,0,"Was@NYG","01:00PM",126,"0.0393",0.4249,0,"null","2534571"
"Jonathan Grimes",1.6338,"RB","HOU",3000,1.55,"Hou@NE","08:25PM",95,"0.1453",3.0065,0.47,"8.0902","2534770"
"Daryl Richardson",1.4478,"RB","PIT",3000,0.3,"Pit@Phi","04:25PM",98,"0.0493",2.7502,0.39,"3.3737","2534789"
"Garrett Celek",3.8542,"TE","SF",2500,2.35,"SF@Sea","04:05PM",43,"0.1365",5.2492,2.21,"5.5846","2534820"
"Phillip Supernaw",0.548,"TE","TEN",2500,0.85,"Oak@Ten","01:00PM",87,"0.0588",0.9336,0,"4.1155","2535535"
"Cole Beasley",10.0133,"WR","DAL",3200,13.5,"Chi@Dal","08:30PM",47,"0.1693",10.7827,8.187,"4.622","2535698"
"Lance Dunbar",4.5692,"RB","DAL",3000,3.9,"Chi@Dal","08:30PM",69,"0.1714",5.9082,2.23,"4.5847","2535708"
"Rod Streater",1.9555,"WR","SF",3000,1.15,"SF@Sea","04:05PM",125,"0.0685",2.79,0.59,"8.0615","2535869"
"Sean McGrath",1.8011,"TE","SD",2500,0,"SD@Ind","04:25PM",61,"0.1196",3.2782,0,"7.7995","2535943"
"Brenton Bersin",0.5828,"WR","CAR",3000,0,"Min@Car","01:00PM",158,"0.0324",0.8785,0,"4.0803","2535966"
"Jamize Olawale",2.2335,"RB","OAK",3000,6.05,"Oak@Ten","01:00PM",90,"0.3652",2.9442,0.5613,"5.2221","2536044"
"Brandon Bostick",0.8869,"TE","NYJ",2500,0,"NYJ@KC","04:25PM",75,"0.0954",1.1867,0.54,"4.145","2536342"
"Larry Donnell",6.5965,"TE","NYG",2700,7.45,"Was@NYG","01:00PM",26,"0.161",7.9191,4.05,"5.4801","2537933"
"Terrance Williams",8.4183,"WR","DAL",3300,3.2,"Chi@Dal","08:30PM",60,"0.0568",11.1304,5.79,"6.4648","2539205"
"Andre Ellington",3.6964,"RB","ARI",3600,2.45,"Ari@Buf","01:00PM",76,"0.3836",4.0043,2.5934,"5.7957","2539217"
"EJ Manuel",0.1618,"QB","BUF",5000,0.6,"Ari@Buf","01:00PM",58,"0.0269",0.2456,0.084,"3.8748","2539228"
"Tavarres King",0.4898,"WR","NYG",3000,0,"Was@NYG","01:00PM",162,"0.0621",0.7053,0.14,"3.8118","2539235"
"Quinton Patton",7.2604,"WR","SF",3100,8.25,"SF@Sea","04:05PM",75,"0.2826",8.0479,6.34,"6.0277","2539250"
"Denard Robinson",2.4638,"RB","JAX",3000,1.55,"Bal@Jax","01:00PM",88,"0.1444",4.1828,0.3295,"6.1144","2539260"
"Rex Burkhead",0.5088,"RB","CIN",3000,0,"Den@Cin","01:00PM",116,"0.0392",0.9154,0.07,"3.0551","2539265"
"Mike Glennon",0.597,"QB","TB",5000,0,"LA@TB","04:05PM",47,"0.1492",1.1241,0.092,"4.6282","2539275"
"Landry Jones",0.4431,"QB","PIT",5000,0,"Pit@Phi","04:25PM",49,"0.0469",1.0511,-0.64,"4.6724","2539287"
"Kenjon Barner",1.7613,"RB","PHI",3000,2.2,"Pit@Phi","04:25PM",93,"0.0763",2.4546,0.15,"6.1144","2539289"
"Markus Wheaton",9.8372,"WR","PIT",4600,0,"Pit@Phi","04:25PM",49,"0.0637",11.5568,8.5354,"7.2446","2539291"
"Zach Line",0.7835,"RB","MIN",3000,0,"Min@Car","01:00PM",110,"0.0929",1.1771,0.39,"7.899","2539303"
"Stepfan Taylor",0.2258,"RB","ARI",3000,0,"Ari@Buf","01:00PM",127,"0.0181",0.3419,0,"null","2539315"
"Christine Michael",11.3203,"RB","SEA",5000,9.85,"SF@Sea","04:05PM",24,"0.1497",12.7596,9.07,"4.2023","2539322"
