"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Blake Bortles",7200,"QB","Jax",22.32,"GB@Jax","01:00PM",18.4049,12,"0.1867",19.4307,17.25,"6.1623"
"Bobby Rainey",3000,"RB","NYG",0.338,"NYG@Dal","04:25PM",0.4403,124,"0.0378",0.5613,0.1269,"4.0615"
"Branden Oliver",3000,"RB","SD",4.375,"SD@KC","01:00PM",0,142,"0",0,0,"null"
"Brandin Cooks",7700,"WR","NO",16.6,"Oak@NO","01:00PM",17.3984,9,"0.0812",20.3146,14.61,"5.5605"
"Brandon Bolden",3000,"RB","NE",4.5,"NE@Ari","08:30PM",3.0777,77,"0.0778",3.6346,1.83,"7.4781"
"Brandon Bostick",2500,"TE","NYJ",0,"Cin@NYJ","01:00PM",0.2404,103,"0.0328",0.4415,0,"2.1802"
"Brandon Coleman",3000,"WR","NO",5.463,"Oak@NO","01:00PM",3.2094,117,"0.0888",5.6654,0.51,"6.1475"
"Brandon LaFell",3900,"WR","Cin",7.385,"Cin@NYJ","01:00PM",6.4994,77,"0.1915",7.2943,5.036,"4.7715"
"Brandon Marshall",7800,"WR","NYJ",23.2,"Cin@NYJ","01:00PM",17.5847,8,"0.2049",19.949,15.37,"4.523"
"Brandon Myers",2500,"TE","TB",2.245,"TB@Atl","01:00PM",0.7934,80,"0.0197",1.3138,0,"null"
"Brandon Pettigrew",2500,"TE","Det",2.463,"Det@Ind","04:25PM",1.0351,76,"0.0504",1.7157,0,"null"
"Brandon Tate",3000,"WR","Cin",0.818,"Cin@NYJ","01:00PM",0.0469,191,"0.0469",0.1148,0,"3.1006"
"Brandon Weeden",5000,"QB","Hou",11.57,"Chi@Hou","01:00PM",0.0043,73,"0.0028",0.0094,0,"3.5829"
"Brandon Wilds",3000,"RB","Atl",0,"TB@Atl","01:00PM",0,142,"0",0,0,"null"
"Brandon Williams",2500,"TE","Sea",0,"Mia@Sea","04:05PM",0.3108,98,"0.0231",0.3681,0.25,"null"
"Braxton Miller",3000,"WR","Hou",0,"Chi@Hou","01:00PM",5.7034,86,"0.1138",7.9571,3.12,"6.3512"
"Brent Celek",2700,"TE","Phi",5.488,"Cle@Phi","01:00PM",4.0491,40,"0.0632",4.5137,3.2823,"4.3532"
"Breshad Perriman",3700,"WR","Bal",0,"Buf@Bal","01:00PM",3.7849,107,"0.1033",5.445,1.56,"6.6595"
"Brett Hundley",5000,"QB","GB",0,"GB@Jax","01:00PM",0.1127,65,"0.0262",0.2477,0.008,"3.871"
"Brian Hoyer",5000,"QB","Chi",14.915,"Chi@Hou","01:00PM",1.077,40,"0.2847",2.2947,-0.24,"7.0789"
"Brian Leonhardt",2500,"TE","Min",0.35,"Min@Ten","01:00PM",0,109,"0",0,0,"null"
"Brian Parker",2500,"TE","KC",0.145,"SD@KC","01:00PM",0,109,"0",0,0,"null"
"Brice Butler",3000,"WR","Dal",5.4,"NYG@Dal","04:25PM",4.2193,102,"0.0722",7.5707,1.17,"9.5147"
"Brittan Golden",3000,"WR","Ari",0.094,"NE@Ari","08:30PM",0,192,"0",0,0,"2.931"
