"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Geronimo Allison",3000,"WR","GB",0,"GB@Jax","01:00PM",0,192,"0",0,0,"2.931"
"Giovani Bernard",4800,"RB","Cin",11.247,"Cin@NYJ","01:00PM",10.6106,28,"0.2999",11.333,8.7287,"4.3416"
"Glenn Winston",3000,"RB","Cle",-0.6,"Cle@Phi","01:00PM",0,142,"0",0,0,"null"
"Golden Tate",7300,"WR","Det",13.15,"Det@Ind","04:25PM",15.4354,22,"0.3918",17.5964,10.9088,"8.336"
"Greg Little",3000,"WR","Buf",0,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Greg Salas",3000,"WR","Buf",3.55,"Buf@Bal","01:00PM",1.1655,146,"0.043",1.9098,0,"3.8861"
"Griff Whalen",3000,"WR","Mia",3.107,"Mia@Sea","04:05PM",0.3011,180,"0.0373",0.4558,0,"3.6162"
"Gus Johnson",3000,"RB","Atl",0,"TB@Atl","01:00PM",0,142,"0",0,0,"null"
"Hakeem Nicks",3200,"WR","NO",2.067,"Oak@NO","01:00PM",0,192,"0",0,0,"null"
"Harry Douglas",3400,"WR","Ten",6.25,"Min@Ten","01:00PM",4.3243,100,"0.0816",6.7093,2.0561,"6.3984"
"Hunter Henry",2500,"TE","SD",0,"SD@KC","01:00PM",3.2178,49,"0.0944",3.874,2.0261,"5.8278"
"Ifeanyi Momah",2500,"TE","Ari",0,"NE@Ari","08:30PM",0,109,"0",0,0,"null"
"Isaiah Burse",3000,"WR","SD",0,"SD@KC","01:00PM",0.1388,187,"0.0308",0.2928,0,"3.2189"
"Isaiah Crowell",4200,"RB","Cle",8.8,"Cle@Phi","01:00PM",9.0499,39,"0.0516",10.528,7.2119,"4.9577"
"Isaiah Pead",3000,"RB","Mia",-0.35,"Mia@Sea","04:05PM",1.6516,98,"0.1034",2.5818,0.5163,"null"
"J.J. Nelson",3200,"WR","Ari",4.862,"NE@Ari","08:30PM",4.2662,101,"0.0796",6.268,1.9,"5.933"
"Jace Amaro",2700,"TE","NYJ",0,"Cin@NYJ","01:00PM",1.2446,72,"0.0552",2.327,0.19,"9.4755"
"Jace Billingsley",3000,"WR","Det",0,"Det@Ind","04:25PM",0,192,"0",0,0,"2.931"
"Jack Doyle",2500,"TE","Ind",1.575,"Det@Ind","04:25PM",4.3119,37,"0.1256",5.7756,2.4887,"1.7921"
"Jacob Tamme",2800,"TE","Atl",8.913,"TB@Atl","01:00PM",6.5394,24,"0.0736",7.6563,4.5,"4.4309"
"Jacoby Brissett",5000,"QB","NE",0,"NE@Ari","08:30PM",0.1255,64,"0.0193",0.2826,0,"3.8886"
"Jacquizz Rodgers",3100,"RB","Chi",1.22,"Chi@Hou","01:00PM",0,142,"0",0,0,"null"
"Jaelen Strong",3800,"WR","Hou",4.618,"Chi@Hou","01:00PM",5.3275,91,"0.1962",6.4332,2.81,"6.711"
"Jake Kumerow",3000,"WR","Cin",0,"Cin@NYJ","01:00PM",0,192,"0",0,0,"2.931"
"Jakeem Grant",3000,"WR","Mia",0,"Mia@Sea","04:05PM",1.266,143,"0.013",2.389,0,"5.1776"
"Jalen Richard",3000,"RB","Oak",0,"Oak@NO","01:00PM",0.6415,121,"0.0825",1.351,0,"4.4536"
"Jalin Marshall",3000,"WR","NYJ",0,"Cin@NYJ","01:00PM",0.7548,157,"0.0331",1.6351,0,"4.5561"
"Jalston Fowler",3000,"RB","Ten",1.419,"Min@Ten","01:00PM",1.2474,105,"0.0841",1.5928,0.3462,"null"
"Jamaal Charles",7100,"RB","KC",21.22,"SD@KC","01:00PM",0,142,"0",0,0,"null"
"Jameill Showers",5000,"QB","Dal",0,"NYG@Dal","04:25PM",0,76,"0",0,0,"null"
"Jameis Winston",6600,"QB","TB",18.624,"TB@Atl","01:00PM",17.9963,15,"0.2906",18.9918,14.8,"5.569"
"James Develin",3000,"RB","NE",0,"NE@Ari","08:30PM",0.3149,127,"0.016",0.5249,0,"null"
"James Hanna",2500,"TE","Dal",1.207,"NYG@Dal","04:25PM",1.88,67,"0.0916",1.6467,0.6,"null"
"James Jones",3500,"WR","SD",11.95,"SD@KC","01:00PM",0,192,"0",0,0,"2.931"
"James Starks",4800,"RB","GB",10.75,"GB@Jax","01:00PM",7.9964,46,"0.6415",10.2943,6.1639,"4.1175"
"James White",3600,"RB","NE",8.913,"NE@Ari","08:30PM",11.2096,27,"0.7279",12.5453,8.92,"4.9017"
"James Wright",3000,"WR","Cin",0,"Cin@NYJ","01:00PM",0.6014,165,"0.011",1.1794,0,"4.2315"
"Jamize Olawale",3000,"RB","Oak",2.457,"Oak@NO","01:00PM",2.2251,84,"0.0419",2.7999,0.6144,"15.7116"
"Jared Abbrederis",3300,"WR","GB",2.917,"GB@Jax","01:00PM",4.1539,103,"0.0732",6.8285,1.73,"6.3465"
"Jared Cook",2900,"TE","GB",5.506,"GB@Jax","01:00PM",7.7089,18,"0.4224",8.8,6.0095,"4.4309"
"Jarius Wright",3000,"WR","Min",4.824,"Min@Ten","01:00PM",3.5595,112,"0.1184",4.8333,0.8579,"6.1526"
"Jaron Brown",3400,"WR","Ari",1.889,"NE@Ari","08:30PM",1.5698,139,"0.1532",2.643,0.48,"6.0633"
"Jarrett Boykin",3000,"WR","Buf",0,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Jarvis Landry",6000,"WR","Mia",17.773,"Mia@Sea","04:05PM",16.6856,16,"0.4536",20.7018,13.53,"6.3296"
"Jason Witten",4100,"TE","Dal",10.331,"NYG@Dal","04:25PM",11.4195,8,"0.2358",12.4506,8.0803,"3.81"
"Javontee Herndon",3000,"WR","SD",5.475,"SD@KC","01:00PM",0.8575,153,"0.0186",1.479,0,"5.2557"
"Javorius Allen",3600,"RB","Bal",9.419,"Buf@Bal","01:00PM",8.9603,41,"0.299",15.1372,5,"5.1257"
"Jaxon Shipley",3000,"WR","Ari",0,"NE@Ari","08:30PM",0,192,"0",0,0,"null"
"Jay Ajayi",4200,"RB","Mia",4.744,"Mia@Sea","04:05PM",2.1663,86,"0.079",3.7364,0,"null"
"Jay Cutler",6300,"QB","Chi",16.764,"Chi@Hou","01:00PM",14.3077,27,"0.3143",15.9021,12.94,"5.3792"
"Jay Prosch",3000,"RB","Hou",0.206,"Chi@Hou","01:00PM",0.2869,130,"0.0727",0.4239,0.11,"null"
"Jeff Cumberland",2500,"TE","SD",0.847,"SD@KC","01:00PM",0.41,93,"0.0044",0.3717,0.2,"null"
"Jeff Janis",3700,"WR","GB",2.578,"GB@Jax","01:00PM",2.5638,123,"0.0242",5.8874,0,"8.6305"
"Jerell Adams",2500,"TE","NYG",0,"NYG@Dal","04:25PM",0.5035,89,"0.0627",0.8304,0,"null"
"Jeremy Butler",3000,"WR","Bal",8.413,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Jeremy Hill",4600,"RB","Cin",11.118,"Cin@NYJ","01:00PM",10.3529,29,"0.1049",13.4436,6.94,"4.9017"
"Jeremy Kerley",3000,"WR","Det",2.7,"Det@Ind","04:25PM",4.6501,97,"0.2059",5.6983,2.6764,"6.0757"
"Jeremy Langford",4700,"RB","Chi",9.413,"Chi@Hou","01:00PM",12.2029,19,"0.2568",14.6845,9.4305,"3.8935"
"Jeremy Maclin",6500,"WR","KC",15.494,"SD@KC","01:00PM",14.9261,24,"0.2149",17.5929,10.874,"6.271"
"Jeremy Ross",3000,"WR","NYJ",1.364,"Cin@NYJ","01:00PM",0,192,"0",0,0,"2.931"
"Jerick McKinnon",4600,"RB","Min",5.253,"Min@Ten","01:00PM",6.2387,54,"0.2668",7.5995,5,"null"
"Jermaine Gresham",2500,"TE","Ari",2.724,"NE@Ari","08:30PM",3.1115,51,"0.2349",3.6879,2.0712,"9.3979"
"Jermaine Kearse",3500,"WR","Sea",10.683,"Mia@Sea","04:05PM",8.3206,62,"0.2224",10.8417,5.5031,"6.3251"
"Jerome Cunningham",2500,"TE","Ten",1.544,"Min@Ten","01:00PM",0,109,"0",0,0,"null"
"Jerome Felton",3000,"RB","Buf",0.15,"Buf@Bal","01:00PM",0,142,"0",0,0,"null"
"Jerrod Johnson",5000,"QB","Bal",0,"Buf@Bal","01:00PM",0,76,"0",0,0,"3.5681"
"Jim Dray",2500,"TE","Buf",0.756,"Buf@Bal","01:00PM",1.7283,69,"0.1826",2.8328,0.7,"null"
"Jimmy Garoppolo",6200,"QB","NE",-0.052,"NE@Ari","08:30PM",15.7612,22,"0.2324",17.8557,13.1,"7.3974"
"Jimmy Graham",3800,"TE","Sea",11.227,"Mia@Sea","04:05PM",6.4643,26,"0.1678",7.6419,4.5,"null"
"Joe Banyard",3000,"RB","Jax",0,"GB@Jax","01:00PM",0,142,"0",0,0,"null"
"Joe Flacco",6700,"QB","Bal",19.094,"Buf@Bal","01:00PM",15.5933,23,"0.2794",16.6896,12.4305,"6.3535"
"Joey Iosefa",3000,"RB","NE",2.55,"NE@Ari","08:30PM",0,142,"0",0,0,"null"
"John Brown",5200,"WR","Ari",13.659,"NE@Ari","08:30PM",11.213,39,"0.1434",13.4316,7.4491,"7.8611"
"John Crockett",3000,"RB","GB",0.7,"GB@Jax","01:00PM",0.08,137,"0.0181",0.0654,0,"null"
"Jonas Gray",3000,"RB","Jax",4.025,"GB@Jax","01:00PM",0,142,"0",0,0,"null"
"Jonathan Grimes",3000,"RB","Hou",6.013,"Chi@Hou","01:00PM",1.5909,99,"0.1029",2.367,0.6051,"7.1421"
"Jonathan Krause",3000,"WR","TB",1.55,"TB@Atl","01:00PM",0,192,"0",0,0,"2.931"
"Jonathan Williams",3000,"RB","Buf",0,"Buf@Bal","01:00PM",0.5708,122,"0.0771",0.8225,0.06,"null"
"Jordan Cameron",3000,"TE","Mia",5.725,"Mia@Sea","04:05PM",7.0382,21,"0.1672",8.1888,5.2822,"3.81"
"Jordan Howard",3700,"RB","Chi",0,"Chi@Hou","01:00PM",3.1726,76,"0.1191",4.382,0.3649,"4.7897"
"Jordan Leslie",3000,"WR","Atl",0,"TB@Atl","01:00PM",0,192,"0",0,0,"null"
"Jordan Matthews",6700,"WR","Phi",15.231,"Cle@Phi","01:00PM",12.4172,35,"0.046",13.8497,9.4679,"6.468"
"Jordan Payton",3000,"WR","Cle",0,"Cle@Phi","01:00PM",0.6324,163,"0.0198",0.7285,0.45,"3.198"
"Jordan Todman",3000,"RB","Ind",0.715,"Det@Ind","04:25PM",1.9375,92,"0.1414",3.3934,0,"3.6135"
"Jordy Nelson",7700,"WR","GB",0,"GB@Jax","01:00PM",16.0194,20,"0.5331",18.462,11.5272,"7.9506"
"Josh Boyce",3000,"WR","Ind",0,"Det@Ind","04:25PM",0,192,"0",0,0,"2.931"
"Josh Ferguson",3500,"RB","Ind",0,"Det@Ind","04:25PM",2.0574,89,"0.0634",3.1243,0.25,"6.0779"
"Josh Gordon",6800,"WR","Cle",0,"Cle@Phi","01:00PM",0,192,"0",0,0,"2.931"
"Josh Hill",2500,"TE","NO",2.5,"Oak@NO","01:00PM",4.1672,39,"0.1257",6.6338,2,"6.6039"
"Josh Huff",3000,"WR","Phi",5.08,"Cle@Phi","01:00PM",4.495,98,"0.1361",5.5602,3.09,"5.311"
"Josh Johnson",5000,"QB","Bal",0,"Buf@Bal","01:00PM",0,76,"0",0,0,"3.5681"
"Josh McCown",5000,"QB","Cle",18.895,"Cle@Phi","01:00PM",3.4465,35,"1.6777",6.968,-0.72,"6.601"
"Julian Edelman",6100,"WR","NE",19.355,"NE@Ari","08:30PM",14.2034,29,"0.7479",15.0101,11.9813,"4.3396"
"Julio Jones",9400,"WR","Atl",25.194,"TB@Atl","01:00PM",22.8713,2,"2.1554",24.5663,18.89,"6.7758"
"Julius Thomas",3800,"TE","Jax",10.375,"GB@Jax","01:00PM",11.2744,9,"0.1959",13.5422,7.8504,"3.6548"
"Justin Forsett",4600,"RB","Bal",12.84,"Buf@Bal","01:00PM",9.5638,35,"0.2294",12.3084,5.4,"5.0697"
"Justin Hardy",3100,"WR","Atl",4.489,"TB@Atl","01:00PM",6.1048,81,"0.1996",8.6381,3,"6.7314"
"Justin Hunter",3000,"WR","Ten",6.044,"Min@Ten","01:00PM",1.1651,147,"0.1039",1.5403,0.45,"3.8866"
"Justin Perillo",2500,"TE","GB",2.72,"GB@Jax","01:00PM",0.778,81,"0.0244",0.876,0.68,"null"
"Kaelin Clay",3000,"WR","Bal",0.857,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Kain Colter",3000,"WR","Buf",0,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Kamar Aiken",4700,"WR","Bal",12.588,"Buf@Bal","01:00PM",9.3262,54,"0.3407",10.2828,6.9586,"4.5708"
"Karlos Williams",3200,"RB","Buf",11.936,"Buf@Bal","01:00PM",0,142,"0",0,0,"null"
"Kasen Williams",3000,"WR","Sea",0.575,"Mia@Sea","04:05PM",0,192,"0",0,0,"null"
"Kasen Williams",3000,"WR","Sea",0.575,"Mia@Sea","04:05PM",0,192,"0",0,0,"null"
"Keenan Allen",8000,"WR","SD",21.438,"SD@KC","01:00PM",17.8725,6,"0.2575",20.5431,13.7931,"10.6773"
"Keith Mumphery",3000,"WR","Hou",1.582,"Chi@Hou","01:00PM",0.9781,151,"0.1046",1.348,0.46,"4.1018"
"Keith Wenning",5000,"QB","Cin",0,"Cin@NYJ","01:00PM",0,76,"0",0,0,"3.5681"
"Kellen Clemens",5000,"QB","SD",3.21,"SD@KC","01:00PM",0.2671,56,"0.0259",0.4508,0.012,"4.0836"
"Kellen Davis",2500,"TE","NYJ",0.675,"Cin@NYJ","01:00PM",3.3871,46,"0.1052",4.4531,1.21,"6.9144"
"Kellen Moore",5000,"QB","Dal",14.353,"NYG@Dal","04:25PM",0,76,"0",0,0,"3.5681"
"Kenbrell Thompkins",3000,"WR","NYJ",4.786,"Cin@NYJ","01:00PM",0.5826,167,"0.0041",0.9875,0,"4.4727"
"Kendall Wright",3400,"WR","Ten",9.95,"Min@Ten","01:00PM",1.715,135,"0.0458",2.958,0,"7.5804"
"Kenjon Barner",3000,"RB","Phi",2.055,"Cle@Phi","01:00PM",2.043,90,"0.1017",3.0824,0.15,"5.9099"
"Kennard Backman",2500,"TE","GB",0,"GB@Jax","01:00PM",0,109,"0",0,0,"null"
"Kenneth Dixon",3400,"RB","Bal",0,"Buf@Bal","01:00PM",0,142,"0",0,0,"null"
"Kenny Bell",3400,"WR","TB",0,"TB@Atl","01:00PM",0,192,"0",0,0,"2.931"
"Kenny Hilliard",3000,"RB","Hou",0,"Chi@Hou","01:00PM",0,142,"0",0,0,"null"
"Kenny Lawler",3000,"WR","Sea",0,"Mia@Sea","04:05PM",0,192,"0",0,0,"2.931"
"Kenny Stills",3200,"WR","Mia",5.563,"Mia@Sea","04:05PM",8.0134,64,"0.0835",10.1651,5.17,"6.5937"
"Kenyan Drake",3000,"RB","Mia",0,"Mia@Sea","04:05PM",1.783,94,"0.0474",2.4484,0.02,"null"
"Kerwynn Williams",3000,"RB","Ari",3.8,"NE@Ari","08:30PM",0,142,"0",0,0,"null"
"Keshawn Martin",3000,"WR","NE",6.382,"NE@Ari","08:30PM",0,192,"0",0,0,"2.931"
"Kevin Hogan",5000,"QB","KC",0,"SD@KC","01:00PM",0,76,"0",0,0,"3.5681"
"Kevin Smith",3000,"WR","Sea",1.267,"Mia@Sea","04:05PM",0,192,"0",0,0,"null"
"Kevin White",5200,"WR","Chi",0,"Chi@Hou","01:00PM",8.7613,57,"0.1439",11.604,4.05,"8.5111"
"Khari Lee",2500,"TE","Chi",0.106,"Chi@Hou","01:00PM",2.15,64,"0.1421",2.15,2.15,"null"
"Khiry Robinson",3000,"RB","NYJ",8.813,"Cin@NYJ","01:00PM",1.2796,104,"0.0477",1.7848,0,"2.6053"
"Knile Davis",3100,"RB","KC",1.881,"SD@KC","01:00PM",2.3069,83,"0.0943",4.153,0.8,"7.7582"
"Kolby Listenbee",3000,"WR","Buf",0,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Kyle Juszczyk",3100,"RB","Bal",6.088,"Buf@Bal","01:00PM",3.0293,78,"0.2181",3.6496,1.86,"4.9017"
"Kyle Rudolph",3000,"TE","Min",7.935,"Min@Ten","01:00PM",7.1315,20,"0.1484",7.7726,6.1332,"4.1204"
"Lamar Miller",7000,"RB","Hou",15.119,"Chi@Hou","01:00PM",17.1357,4,"0.3529",19.394,10.2618,"2.7733"
"Lance Dunbar",3000,"RB","Dal",13.05,"NYG@Dal","04:25PM",3.1969,75,"0.0718",4.9073,0.88,"null"
"Laquon Treadwell",4500,"WR","Min",0,"Min@Ten","01:00PM",5.7988,85,"0.1513",8.3583,2.019,"7.3459"
"Larry Donnell",2900,"TE","NYG",7.913,"NYG@Dal","04:25PM",5.5385,30,"0.1587",7.8559,2.4068,"5.6726"
"Larry Fitzgerald",6300,"WR","Ari",18.506,"NE@Ari","08:30PM",15.1612,23,"0.3174",16.8692,11.97,"6.1668"
"Latavius Murray",5600,"RB","Oak",13.238,"Oak@NO","01:00PM",14.1618,11,"0.3215",15.2791,10.5414,"3.4454"
"Lee Smith",2500,"TE","Oak",1.667,"Oak@NO","01:00PM",2.238,62,"0.0879",3.7885,0.57,"null"
"LeGarrette Blount",3700,"RB","NE",10.467,"NE@Ari","08:30PM",9.2217,37,"0.1346",11.3188,5.8932,"5.2938"
"Leonard Hankerson",3300,"WR","Buf",7.97,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Leonte Carroo",3200,"WR","Mia",0,"Mia@Sea","04:05PM",3.64,110,"0.0616",5.6409,1.16,"6.3693"
"LeSean McCoy",6400,"RB","Buf",15.808,"Buf@Bal","01:00PM",14.8046,10,"0.7999",18.1175,10.78,"3.7815"
"Levine Toilolo",2500,"TE","Atl",0.838,"TB@Atl","01:00PM",0.5536,87,"0.034",0.8537,0,"null"
"Logan Thomas",5000,"QB","NYG",0,"NYG@Dal","04:25PM",0,76,"0",0,0,"3.5681"
"Lorenzo Taliaferro",3200,"RB","Bal",6.2,"Buf@Bal","01:00PM",0,142,"0",0,0,"null"
"Louis Murphy",3000,"WR","TB",4.967,"TB@Atl","01:00PM",0,192,"0",0,0,"null"
"Lucky Whitehead",3000,"WR","Dal",1.153,"NYG@Dal","04:25PM",1.6294,138,"0.1267",1.8674,1.24,"5.0882"
"Luke McCown",5000,"QB","NO",1.925,"Oak@NO","01:00PM",0.1329,63,"0.0138",0.2613,0.004,"3.858"
"Luke Stocker",2500,"TE","TB",1.507,"TB@Atl","01:00PM",0.5945,86,"0.0497",0.6933,0.41,"null"
"Luke Willson",2700,"TE","Sea",3.58,"Mia@Sea","04:05PM",4.3542,36,"0.0956",4.9879,2.7061,"5.2846"
"Malcolm Johnson",3000,"RB","Cle",0.458,"Cle@Phi","01:00PM",0.2,132,"0.01",0.2,0.2,"null"
"Malcolm Mitchell",3000,"WR","NE",0,"NE@Ari","08:30PM",3.0507,120,"0.1205",4.0768,2.0093,"4.4282"
"Marc Mariani",3000,"WR","Chi",3.188,"Chi@Hou","01:00PM",1.8069,133,"0.0919",4.4187,0,"8.0818"
"Marcedes Lewis",2700,"TE","Jax",2.413,"GB@Jax","01:00PM",2.5704,57,"0.0441",3.1476,1.98,"5.595"
"Marcel Reece",3000,"RB","Oak",5.233,"Oak@NO","01:00PM",1.2163,106,"0.1214",1.9114,0,"null"
"Marcus Easley",3000,"WR","Buf",0.985,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Marcus Mariota",6400,"QB","Ten",19.668,"Min@Ten","01:00PM",15.9831,21,"0.3058",16.8676,13.24,"6.35"
"Marcus Murphy",3000,"RB","NO",0.385,"Oak@NO","01:00PM",0.1995,133,"0.0641",0.4184,0,"null"
"Mario Alford",3000,"WR","Cin",2.5,"Cin@NYJ","01:00PM",0,192,"0",0,0,"2.931"
"Mark Ingram",6600,"RB","NO",17.283,"Oak@NO","01:00PM",16.9516,5,"0.5739",20.6545,13.31,"2.9413"
"Marlon Moore",3000,"WR","Cle",1.507,"Cle@Phi","01:00PM",0,192,"0",0,0,"null"
"Marqise Lee",3100,"WR","Jax",4.39,"GB@Jax","01:00PM",5.5914,87,"0.0251",7.4324,3.13,"6.0051"
"MarQueis Gray",2500,"TE","Mia",0.3,"Mia@Sea","04:05PM",0.2994,99,"0.0235",0.5254,0,"null"
"Marquess Wilson",3700,"WR","Chi",7.582,"Chi@Hou","01:00PM",1.67,136,"0.0212",1.67,1.67,"null"
"Marquise Goodwin",3000,"WR","Buf",2.2,"Buf@Bal","01:00PM",2.8606,122,"0.3023",4.8831,0.0093,"7.146"
"Marshaun Coprich",3000,"RB","NYG",0,"NYG@Dal","04:25PM",0,142,"0",0,0,"null"
"Martellus Bennett",3400,"TE","NE",10.445,"NE@Ari","08:30PM",12.6648,5,"0.8433",14.6317,8.3573,"4.6637"
"Matt Asiata",3300,"RB","Min",2.688,"Min@Ten","01:00PM",2.5556,81,"0.2376",3.5802,1.0189,"5.4618"
"Matt Barkley",5000,"QB","Ari",0,"NE@Ari","08:30PM",0,76,"0",0,0,"3.5681"
"Matt Cassel",5000,"QB","Ten",7.384,"Min@Ten","01:00PM",0.4633,49,"0.041",0.7707,0.166,"4.4133"
"Matt Forte",6100,"RB","NYJ",16.823,"Cin@NYJ","01:00PM",13.8477,12,"0.1836",15.4795,11.47,"null"
"Matt Hazel",3000,"WR","Mia",0,"Mia@Sea","04:05PM",0,192,"0",0,0,"2.931"
"Matt LaCosse",2500,"TE","NYG",2.6,"NYG@Dal","04:25PM",0,109,"0",0,0,"null"
"Matt McGloin",5000,"QB","Oak",5.84,"Oak@NO","01:00PM",0.6481,43,"0.0432",1.291,0.048,"5.2578"
"Matt Moore",5000,"QB","Mia",0.36,"Mia@Sea","04:05PM",0.0996,66,"0.0402",0.1603,0.008,"3.7105"
"Matt Ryan",7100,"QB","Atl",16.871,"TB@Atl","01:00PM",18.3414,13,"0.2957",19.23,17.272,"6.2499"
"Matt Schaub",5000,"QB","Atl",16.8,"TB@Atl","01:00PM",0.139,62,"0.0098",0.2902,-0.048,"3.8788"
"Matt Simms",5000,"QB","Atl",0,"TB@Atl","01:00PM",0,76,"0",0,0,"3.5681"
"Matthew Mulligan",2500,"TE","Det",0.1,"Det@Ind","04:25PM",0,109,"0",0,0,"null"
"Matthew Slater",3000,"WR","NE",0,"NE@Ari","08:30PM",0.1481,186,"0.0204",0.3385,0,"3.3105"
"Matthew Stafford",7200,"QB","Det",19.674,"Det@Ind","04:25PM",18.8789,11,"0.5058",19.7604,15.45,"6.8227"
"Matthew Tucker",3000,"RB","NYJ",0,"Cin@NYJ","01:00PM",0,142,"0",0,0,"null"
"Maxx Williams",2600,"TE","Bal",4.629,"Buf@Bal","01:00PM",3.9379,42,"0.045",5.0098,2.8,"6.4487"
"Melvin Gordon",4600,"RB","SD",8.021,"SD@KC","01:00PM",10.2685,30,"0.1225",11.1358,8.5155,"4.0615"
"Michael Burton",3000,"RB","Det",1.006,"Det@Ind","04:25PM",1.735,96,"0.0604",2.735,0.5238,"null"
"Michael Campanaro",3000,"WR","Bal",4.05,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Michael Crabtree",5500,"WR","Oak",15.013,"Oak@NO","01:00PM",15.5372,21,"0.2389",17.5236,14.01,"4.6298"
"Michael Floyd",5900,"WR","Ari",12.482,"NE@Ari","08:30PM",14.4299,27,"0.1536",18.0153,12.1993,"6.2535"
"Michael Hoomanawanui",2500,"TE","NO",2.543,"Oak@NO","01:00PM",1.17,75,"0.1375",1.0661,0.6,"null"
"Michael Thomas",4000,"WR","NO",0,"Oak@NO","01:00PM",8.3489,61,"0.097",10.7021,3.11,"8.4963"
"Mike Evans",7400,"WR","TB",15.107,"TB@Atl","01:00PM",17.3612,10,"0.1793",21.1717,13.7073,"6.3587"
"Mike Gillislee",3800,"RB","Buf",10.52,"Buf@Bal","01:00PM",3.7605,67,"0.1171",5.5945,0.7998,"null"
"Mike Glennon",5000,"QB","TB",0,"TB@Atl","01:00PM",0.6114,44,"0.0128",1.1069,0.158,"5.0044"
"Mike James",3000,"RB","TB",0,"TB@Atl","01:00PM",0,142,"0",0,0,"null"
"Mike Wallace",4200,"WR","Bal",5.935,"Buf@Bal","01:00PM",7.9015,66,"0.2113",9.0638,5.9647,"5.0631"
"Mike Williams",3000,"WR","KC",0,"SD@KC","01:00PM",0,192,"0",0,0,"null"
"Mitchell Henry",2500,"TE","GB",0,"GB@Jax","01:00PM",0,109,"0",0,0,"null"
"Mohamed Sanu",5100,"WR","Atl",5.659,"TB@Atl","01:00PM",9.7476,50,"0.1656",10.8216,7.401,"4.9734"
"Moritz Boehringer",3000,"WR","Min",0,"Min@Ten","01:00PM",0,192,"0",0,0,"2.931"
"Mychal Rivera",2600,"TE","Oak",4.125,"Oak@NO","01:00PM",4.7983,35,"0.4652",5.9056,3.16,"6.3711"
"MyCole Pruitt",2500,"TE","Min",1.359,"Min@Ten","01:00PM",2.4128,60,"0.1221",2.4568,1.5,"null"
"Myles White",3000,"WR","NYG",1.817,"NYG@Dal","04:25PM",0.46,173,"0.0706",0.46,0.46,"null"
"Nate Washington",3000,"WR","NE",9.607,"NE@Ari","08:30PM",0,192,"0",0,0,"null"
"Nathan Palmer",3000,"WR","Oak",0,"Oak@NO","01:00PM",0,192,"0",0,0,"null"
"Neal Sterling",3000,"WR","Jax",0,"GB@Jax","01:00PM",0.0993,189,"0.0398",0.1713,0,"3.2002"
"Nelson Agholor",3500,"WR","Phi",4.331,"Cle@Phi","01:00PM",6.3536,78,"0.1652",7.5729,4.24,"5.3663"
"Nic Jacobs",2500,"TE","Jax",0.145,"GB@Jax","01:00PM",0,109,"0",0,0,"null"
"Nick Boyle",2500,"TE","Bal",3.209,"Buf@Bal","01:00PM",0,109,"0",0,0,"null"
"Nick Foles",5000,"QB","KC",9.825,"SD@KC","01:00PM",0.5985,46,"0.06",1.1718,0.08,"4.833"
"Nick Vannett",2500,"TE","Sea",0,"Mia@Sea","04:05PM",0,109,"0",0,0,"null"
"Nick Williams",3000,"WR","Atl",3.207,"TB@Atl","01:00PM",0.6237,164,"0.0238",0.9442,0,"4.3503"
"Nikita Whitlock",3000,"RB","NYG",0,"NYG@Dal","04:25PM",0.0903,135,"0.0051",0.1557,0,"null"
"Orleans Darkwa",3000,"RB","NYG",1.713,"NYG@Dal","04:25PM",2.0641,88,"0.0138",2.9654,0.1831,"6.1899"
"Orson Charles",2500,"TE","Det",0,"Det@Ind","04:25PM",0.1354,107,"0.0741",0.2335,0,"null"
"Patrick DiMarco",3000,"RB","Atl",2.25,"TB@Atl","01:00PM",1.6977,97,"0.0764",2.4254,1.02,"4.9017"
"Paul Perkins",3200,"RB","NYG",0,"NYG@Dal","04:25PM",3.3769,72,"0.0932",4.8626,0.607,"7.8702"
"Paul Richardson",3000,"WR","Sea",5,"Mia@Sea","04:05PM",3.356,115,"0.1288",3.8396,2.51,"5.1386"
"Paul Turner",3000,"WR","Phi",0,"Cle@Phi","01:00PM",0,192,"0",0,0,"2.931"
"Peyton Barber",3000,"RB","TB",0,"TB@Atl","01:00PM",0.6439,120,"0.0378",1.4151,0,"null"
"Philip Rivers",7000,"QB","SD",20.218,"SD@KC","01:00PM",16.5543,20,"0.6822",18.1889,13.84,"7.3412"
"Phillip Dorsett",4500,"WR","Ind",4.291,"Det@Ind","04:25PM",9.5149,52,"0.1626",11.0743,7.6156,"5.4633"
"Phillip Supernaw",2500,"TE","Ten",0.325,"Min@Ten","01:00PM",0.3726,96,"0.043",0.8588,0,"null"
"Quan Bray",3000,"WR","Ind",0,"Det@Ind","04:25PM",2.2382,129,"0.1235",2.9276,1.2827,"5.2022"
