playerId,playername,DKNAME,OwnName,DKPOS,TEAM,FCName
2495660,Brian Leonard,Brian Leonard,Brian Leonard,,FA,
2541512,Brian Leonhardt,Brian Leonhardt,Brian Leonhardt,,OAK,
2553840,Brian Parker,Brian Parker,Brian Parker,,FA,
2532933,Brian Quick,Brian Quick,Brian Quick,WR,LA,Brian Quick
2535522,Brian Tyms,Brian Tyms,Brian Tyms,,FA,
2541388,Brice Butler,Brice Butler,Brice Butler,WR,DAL,Brice Butler
2535988,Brittan Golden,Brittan Golden,Brittan Golden,,FA,
2533436,Brock Osweiler,Brock Osweiler,Brock Osweiler,QB,HOU,Brock Osweiler
100009,Broncos,Broncos ,Broncos,DST,DEN,Broncos
100007,Browns,Browns ,Browns,DST,CLE,Browns
2543646,Bruce Ellington,Bruce Ellington,Bruce Ellington,,SF,
2495838,Bruce Gradkowski,Bruce Gradkowski,Bruce Gradkowski,,PIT,
2495314,Bruce Miller,Bruce Miller,Bruce Miller,,FA,
2528181,Bryan Walters,Bryan Walters,Bryan Walters,WR,JAC,
2534796,Bryce Brown,Bryce Brown,Bryce Brown,,FA,
2552369,Bryce Petty,Bryce Petty,Bryce Petty,QB,NYJ,
2550247,Bryn Renner,Bryn Renner,Bryn Renner,,FA,
100031,Buccaneers,Buccaneers ,Buccaneers,DST,TB,Buccaneers
2540269,C.J. Anderson,C.J. Anderson,C.J. Anderson,RB,DEN,C.J. Anderson
2543721,C.J. Fiedorowicz,C.J. Fiedorowicz,C.J. Fiedorowicz,TE,HOU,C.J. Fiedorowicz
2555417,C.J. Prosise,C.J. Prosise,C.J. Prosise,RB,SEA,C.J. Prosise
497204,C.J. Spiller,C.J. Spiller,C.J. Spiller,,NO,
2552559,C.J. Uzomah,C.J. Uzomah,C.J. Uzomah,TE,CIN,C.J. Uzomah
2495455,Cam Newton,Cam Newton,Cam Newton,QB,CAR,Cam Newton
2552375,Cameron Artis-Payne,Cameron Artis-Payne,Cameron Artis-Payne,RB,CAR,Cameron Artis-Payne
2550656,Cameron Brate,Cameron Brate,Cameron Brate,TE,TB,Cameron Brate
2539199,Cameron Marshall,Cameron Marshall,Cameron Marshall,,FA,
2553568,Cameron Meredith,Cameron Meredith,Cameron Meredith,WR,CHI,
2555426,Cardale Jones,Cardale Jones,Cardale Jones,QB,BUF,
100026,Cardinals,Cardinals ,Cardinals,DST,ARI,Cardinals
2543743,Carlos Hyde,Carlos Hyde,Carlos Hyde,RB,SF,Carlos Hyde
2505245,Carson Palmer,Carson Palmer,Carson Palmer,QB,ARI,Carson Palmer
2555259,Carson Wentz,Carson Wentz,Carson Wentz,QB,PHI,Carson Wentz
2532888,Case Keenum,Case Keenum,Case Keenum,QB,LA,Case Keenum
2495341,Cecil Shorts,Cecil Shorts III,Cecil Shorts III,WR,TB,
79629,Cedric Peerman,Cedric Peerman,Cedric Peerman,,CIN,
252,Chad Henne,Chad Henne,Chad Henne,QB,JAC,
2553787,Chandler Worthy,Chandler Worthy,Chandler Worthy,,FA,
2550268,Charcandrick West,Charcandrick West,Charcandrick West,RB,KC,Charcandrick West
100028,Chargers,Chargers ,Chargers,DST,SD,Chargers
2495139,Charles Clay,Charles Clay,Charles Clay,TE,BUF,Charles Clay
2541147,Charles Johnson,Charles Johnson,Charles Johnson,WR,MIN,Charles Johnson
2543770,Charles Sims,Charles Sims,Charles Sims,RB,TB,Charles Sims
2495974,Charlie Whitehurst,Charlie Whitehurst,Charlie Whitehurst,,IND,
2555477,Charone Peake,Charone Peake,Charone Peake,WR,NYJ,
71255,Chase Coffman,Chase Coffman,Chase Coffman,,IND,
81284,Chase Daniel,Chase Daniel,Chase Daniel,QB,PHI,
2534244,Chase Ford,Chase Ford,Chase Ford,,FA,
2531218,Chase Reynolds,Chase Reynolds,Chase Reynolds,RB,LA,
100016,Chiefs,Chiefs ,Chiefs,DST,KC,Chiefs
2552652,Chris Conley,Chris Conley,Chris Conley,WR,KC,Chris Conley
2535634,Chris Givens,Chris Givens,Chris Givens,,FA,
2539202,Chris Gragg,Chris Gragg,Chris Gragg,,BUF,
2539246,Chris Harper,Chris Harper,Chris Harper,,FA,
2553652,Chris Harper,Chris Harper,Chris Harper,,FA,
2530515,Chris Hogan,Chris Hogan,Chris Hogan,WR,NE,Chris Hogan
2507999,Chris Ivory,Chris Ivory,Chris Ivory,RB,JAC,Chris Ivory
262,Chris Johnson,Chris Johnson,Chris Johnson,RB,ARI,Chris Johnson
2531049,Chris Matthews,Chris Matthews,Chris Matthews,,BAL,
2555209,Chris Moore,Chris Moore,Chris Moore,WR,BAL,
80674,Chris Ogbonnaya,Chris Ogbonnaya,Chris Ogbonnaya,,FA,
2532923,Chris Owusu,Chris Owusu,Chris Owusu,,NYJ,
